x,y,token
66.412186,6.1651845,six
11.134249,33.42954,honour
-36.27541,4.557821,lost
0.88501227,-59.474644,suddenly
-27.979048,-54.75041,",--"
-48.207504,24.79204,suppose
15.601721,32.104694,knowledge
7.8947086,-53.914898,arm
-40.082676,35.22279,.'
-7.134548,51.631294,Which
48.763973,7.41261,meat
-25.509762,36.859425,Here
26.030596,64.00824,39
-48.663395,23.840939,talk
-40.280262,35.273552,!'
-18.675177,48.91234,Nor
48.189697,11.727966,offer
67.15183,48.280506,month
-20.64795,18.36446,hard
-44.24664,18.262344,deal
18.729784,45.813633,praise
57.907787,16.017477,tabernacle
38.197315,10.0784025,fruit
-40.927544,-23.507587,point
18.64258,39.255154,seed
56.584415,5.361942,wood
11.876226,40.52065,seek
-40.82868,-49.35599,lady
-42.81391,-36.779015,immediately
29.455383,-0.43561324,sound
40.18337,-10.7363405,wind
-21.65325,-5.8356056,making
17.556904,41.86913,mercy
-34.69494,44.262844,.)
-33.589336,-45.316013,silence
6.821157,-67.392715,top
26.388885,63.42821,41
50.756874,41.295452,Solomon
-20.98357,23.179218,letter
12.022759,38.01761,enemies
1.8226792,-23.38961,beyond
57.26047,29.399446,wilderness
12.289563,58.50332,Go
31.01671,-0.8373582,cry
-44.021175,17.600912,bad
50.53583,46.535213,daughters
58.615734,28.068838,river
-11.953193,23.814922,become
25.391092,40.86134,delivered
-7.3027644,7.6872954,past
47.2287,7.5541515,wine
-44.137047,23.528746,read
53.34212,13.904974,places
51.161343,29.851864,gathered
-37.678413,32.636623,ve
58.631893,31.96361,mount
-31.559883,-46.849922,continued
31.346848,49.22903,lord
-65.7425,-32.87503,Woodhouse
35.440308,-10.3621645,deep
56.493706,6.6124964,stone
13.324292,46.148937,Ye
10.764329,37.515133,save
-67.07486,-29.089493,Colonel
47.778484,23.076097,rose
-40.794823,-49.30893,gentleman
66.10712,50.17873,third
-54.513542,7.119733,seeing
35.599503,21.67928,destroy
-0.2984512,51.38152,Thy
6.1363373,27.520603,thoughts
19.105434,33.47213,righteousness
16.473774,32.844654,ways
-43.607265,20.043383,used
9.790026,34.777946,sake
-45.966957,-23.890884,company
37.37467,55.785576,husband
-19.38399,40.60334,free
38.462425,28.12125,carried
20.47233,36.23429,anger
51.29021,34.6298,fight
-62.77132,16.508593,Mary
-2.343665,30.197784,sit
1.755186,-37.2223,run
-62.46368,10.538934,longer
-36.56473,-28.63302,appeared
-10.912897,-52.506565,low
-46.224873,16.212278,seem
-5.327626,-63.991753,forward
-53.006447,-27.81609,party
-21.658861,19.271252,fast
-48.462784,15.642178,hardly
-55.158695,-1.421556,sense
22.139454,46.865498,hosts
29.52401,-38.959476,wild
-66.176506,-33.565178,Jane
15.507906,40.81441,shew
4.723739,7.3609,After
20.180323,40.40065,covenant
45.410404,-17.328846,green
-63.282772,2.8860476,possible
-2.445161,13.32829,fair
-45.54924,-32.530373,followed
22.236961,47.28066,GOD
-39.45421,19.213985,use
48.75096,39.600857,captain
51.19231,5.957455,oil
-54.94185,-20.417429,already
33.051765,31.043852,gods
38.471863,-13.598837,darkness
50.93524,48.84461,died
-8.066215,-15.715433,Whale
52.681202,35.603813,Babylon
-58.34479,2.68291,ill
16.616365,33.60395,judge
43.199074,42.816692,born
-54.288994,22.892622,care
17.540665,-50.798904,close
-49.520313,4.8205056,idea
-22.058647,-11.003749,common
1.081865,-35.97289,fish
-44.561516,46.02689,THE
-21.98646,32.921886,comes
7.4204545,26.333895,vain
-34.79964,49.804245,CHAPTER
-38.36334,-44.381485,Susan
50.62023,33.846226,battle
-51.990955,-4.4543023,means
-28.544174,19.708439,morrow
-45.19538,27.81339,yourself
4.5965567,55.127098,thyself
-37.528835,-37.127365,spoke
